State_FIPS_code,State,Compound,Year,Units,Corn,Soybeans,Wheat,Cotton,Vegetables_and_fruit,Rice,Orchards_and_grapes,Alfalfa,Pasture_and_hay,Other_crops,Unnamed: 15
1,Alabama,"2,4-D",2016,kg,33318.8,24407.8,9714.2,2355.9,,,251.3,,267583.7,1251.4,
1,Alabama,"2,4-DB",2016,kg,,,,578.4,,,,20.7,,22602.9,
1,Alabama,6-BENZYLADENINE,2016,kg,,,,,,,0.0,,,,
1,Alabama,ABAMECTIN,2016,kg,,,,52.1,,,21.4,,,,
1,Alabama,ACEPHATE,2016,kg,,1002.8,,17060.7,,,,,,10222.2,
1,Alabama,ACETOCHLOR,2016,kg,,76.5,,26030.2,,,,,,1016.3,
1,Alabama,ACIFLUORFEN,2016,kg,,,,,,,,,,3238.5,
1,Alabama,AMINOPYRALID,2016,kg,,,,,,,,,6689.6,,
1,Alabama,ATRAZINE,2016,kg,214639.5,,,,153.2,,,,,929.8,
1,Alabama,AZOXYSTROBIN,2016,kg,1438.2,676.2,717.4,283.4,25.6,,157.8,,,12579.9,
1,Alabama,BACILLUS THURINGIENSIS,2016,kg,,,,,0.2,,,,,,
1,Alabama,BENFLURALIN,2016,kg,,,,,,,,,,492.9,
1,Alabama,BENTAZONE,2016,kg,,,,,,,,,,6128.3,
1,Alabama,BENZOVINDIFLUPYR,2016,kg,,,,,,,,,,1353.0,
1,Alabama,BIFENTHRIN,2016,kg,1381.3,2326.8,149.0,4358.4,34.2,,204.6,,,565.0,
1,Alabama,BOSCALID,2016,kg,,,,,68.3,,31.1,,,,
1,Alabama,CAPTAN,2016,kg,,,,,,,9566.2,,,,
1,Alabama,CARBARYL,2016,kg,,,,2539.2,22.4,,6884.2,,,492.9,
1,Alabama,CARFENTRAZONE-ETHYL,2016,kg,,,,107.4,,,,,,,
1,Alabama,CHLORANTRANILIPROLE,2016,kg,,229.1,,198.6,7.6,,,,,,
1,Alabama,CHLORIMURON,2016,kg,,171.4,,,,,,,,,
1,Alabama,CHLOROPICRIN,2016,kg,,,,,3693.0,,,,,,
1,Alabama,CHLOROTHALONIL,2016,kg,,,,,11318.7,,7954.3,,,264806.7,
1,Alabama,CHLORPYRIFOS,2016,kg,991.5,6232.9,,,,,613.9,,,30.0,
1,Alabama,CHLORSULFURON,2016,kg,,,60.3,,,,,,,,
1,Alabama,CLETHODIM,2016,kg,,,,261.7,2.0,,,,,7058.2,
1,Alabama,CLOMAZONE,2016,kg,,,,,260.2,,,,,,
1,Alabama,CLORANSULAM-METHYL,2016,kg,,589.4,,,,,,,,,
1,Alabama,CLOTHIANIDIN,2016,kg,,345.9,,,,,143.4,,,,
1,Alabama,COPPER HYDROXIDE,2016,kg,,,,,36.9,,1621.0,,,,
1,Alabama,COPPER SULFATE,2016,kg,,,,,,,6673.1,,,,
1,Alabama,CUPROUS OXIDE,2016,kg,,,,,2.2,,,,,,
1,Alabama,CYAZOFAMID,2016,kg,,,,,5.9,,,,,,
1,Alabama,CYCLANILIDE,2016,kg,,,,482.2,,,,,,,
1,Alabama,CYFLUTHRIN,2016,kg,356.9,816.4,154.1,138.6,,,24.0,,,,
1,Alabama,CYHALOTHRIN-GAMMA,2016,kg,549.7,,32.8,,,,,,,,
1,Alabama,CYHALOTHRIN-LAMBDA,2016,kg,,1244.8,2354.6,189.7,18.6,,,4.0,,184.7,
1,Alabama,CYPERMETHRIN,2016,kg,,73.6,,534.2,1.6,,51.6,,,181.8,
1,Alabama,CYPROCONAZOLE,2016,kg,,,327.9,,,,,,,41.2,
1,Alabama,DELTAMETHRIN,2016,kg,,24.0,,,,,,,,,
1,Alabama,DICAMBA,2016,kg,,,197.3,4820.5,,,,,4893.9,,
1,Alabama,DICHLOROPROPENE,2016,kg,,,,,75251.2,,,,,695.2,
1,Alabama,DICLOSULAM,2016,kg,,,,,,,,,,431.3,
1,Alabama,DICROTOPHOS,2016,kg,,,,20279.4,,,,,,,
1,Alabama,DIFENOCONAZOLE,2016,kg,,425.5,,,,,86.6,,,,
1,Alabama,DIFLUBENZURON,2016,kg,,245.7,,106.9,,,,,,775.9,
1,Alabama,DIMETHENAMID-P,2016,kg,588.7,2963.4,,,,,,,,,
1,Alabama,DIMETHENAMID & DIMETHENAMID-P,2016,kg,588.7,2963.4,,,,,,,,,
1,Alabama,DIMETHOATE,2016,kg,,,,,89.7,,,,,,
